dataset_tag,epochs,lr,repeat,ufmr_original_wer,ufmr_updated_wer,ufmr_absolute_delta,ufmr_relative_delta_pct,rfm_original_wer,rfm_updated_wer,rfm_absolute_delta,rfm_relative_delta_pct,rfm_minus_ufmr_updated_wer,rfm_minus_ufmr_rel_delta_pct,updated_wer_winner,relative_delta_winner
TAL,1,1e-5,1,0.139755,0.131779,-0.007976,-5.71,0.139755,0.132645,-0.007111,-5.09,0.000866,0.62,UFMR,UFMR
TAL,5,1e-5,1,0.139755,0.184432,0.044676,31.97,0.139755,0.132284,-0.007471,-5.35,-0.052148,-37.32,RFM,RFM
chime6,1,1e-5,1,0.852697,0.591558,-0.261139,-30.63,0.852697,0.607067,-0.245629,-28.81,0.015509,1.82,UFMR,UFMR
chime6,5,1e-5,1,0.852697,0.570074,-0.282622,-33.14,0.852697,0.590694,-0.262002,-30.73,0.020620,2.41,UFMR,UFMR
earnings22,1,1e-5,1,0.195495,0.149256,-0.046239,-23.65,0.195495,0.155954,-0.039540,-20.23,0.006698,3.42,UFMR,UFMR
earnings22,5,1e-5,1,0.195495,0.150685,-0.044809,-22.92,0.195495,0.150481,-0.045014,-23.03,-0.000204,-0.11,RFM,RFM
rev16,1,1e-5,1,0.152681,0.140875,-0.011806,-7.73,0.152681,0.142269,-0.010412,-6.82,0.001394,0.91,UFMR,UFMR
rev16,5,1e-5,1,0.152681,0.490438,0.337757,221.22,0.152681,0.142565,-0.010116,-6.63,-0.347873,-227.85,RFM,RFM
tedlium,1,1e-5,1,0.065426,0.059862,-0.005564,-8.50,0.065426,0.060677,-0.004749,-7.26,0.000815,1.24,UFMR,UFMR
tedlium,5,1e-5,1,0.065426,0.059968,-0.005458,-8.34,0.065426,0.059401,-0.006025,-9.21,-0.000567,-0.87,RFM,RFM
