dataset_tag,epochs,lr,rob108_small_asr_original_wer,rob108_small_asr_updated_wer,rob108_small_asr_relative_delta_pct,rob158_large_asr_original_wer,rob158_large_asr_updated_wer,rob158_large_asr_relative_delta_pct,large_minus_small_relative_delta_pp
tedlium,1,1e-5,0.085345,0.076555,-10.30,0.065426,0.059862,-8.50,1.80
tedlium,1,3e-5,0.085345,0.075173,-11.92,0.065426,0.059755,-8.67,3.25
tedlium,5,1e-5,0.085345,0.075846,-11.13,0.065426,0.059968,-8.34,2.79
earnings22,1,1e-5,0.235198,0.185589,-21.09,0.195495,0.149256,-23.65,-2.56
earnings22,1,3e-5,0.235218,0.187877,-20.13,0.195495,0.148091,-24.25,-4.12
earnings22,5,1e-5,0.235239,0.186957,-20.52,0.195495,0.150685,-22.92,-2.40
chime6,1,1e-5,0.843620,0.642034,-23.90,0.852697,0.591558,-30.63,-6.73
chime6,1,3e-5,0.843638,0.644889,-23.56,0.852697,0.595788,-30.13,-6.57
chime6,5,1e-5,0.843585,0.620233,-26.48,0.852697,0.570074,-33.14,-6.66
rev16,1,1e-5,0.172504,0.162485,-5.81,0.152681,0.140875,-7.73,-1.92
rev16,1,3e-5,0.172514,0.164896,-4.42,0.152681,0.143847,-5.79,-1.37
rev16,5,1e-5,0.172509,0.163113,-5.45,0.152681,0.490438,221.22,226.67
TAL,1,1e-5,0.165691,0.158299,-4.46,0.139755,0.131779,-5.71,-1.25
TAL,1,3e-5,0.165691,0.161679,-2.42,0.139755,0.134390,-3.84,-1.42
TAL,5,1e-5,0.165697,0.162618,-1.86,0.139755,0.184432,31.97,33.83
