series,dataset,split,epochs,repeats,original_wer,updated_wer,rollout_type
RMM oracle,tedlium3_segmented_data,test,1,1,0.0958641953,0.0898394585,cpu_rollout_search
RMM oracle,tedlium3_segmented_data,test,1,2,0.0958641953,0.0893433037,cpu_rollout_search
RMM oracle,tedlium3_segmented_data,test,1,3,0.0958641953,0.0889889074,cpu_rollout_search
RMM oracle,tedlium3_segmented_data,test,1,4,0.0958641953,0.0889180281,cpu_rollout_search
RMM oracle,tedlium3_segmented_data,test,1,5,0.0958641953,0.0888471489,cpu_rollout_search
RMM oracle,tedlium3_segmented_data,test,1,10,0.0958641953,0.0882801148,cpu_rollout_search
RMM oracle,tedlium3_segmented_data,test,1,20,0.0958641953,0.0873232449,cpu_rollout_search
RMM oracle,tedlium3_segmented_data,test,1,50,0.0958641953,0.0878902789,cpu_rollout_search
RFM oracle,tedlium3_segmented_data,test,1,1,0.0958641953,0.0920367155,cpu_rollout_search
RFM oracle,tedlium3_segmented_data,test,1,2,0.0958641953,0.0918240777,cpu_rollout_search
RFM oracle,tedlium3_segmented_data,test,1,3,0.0958641953,0.0906900096,cpu_rollout_search
RFM oracle,tedlium3_segmented_data,test,1,4,0.0958641953,0.0908672077,cpu_rollout_search
RFM oracle,tedlium3_segmented_data,test,1,5,0.0958641953,0.0915760003,cpu_rollout_search
RFM oracle,tedlium3_segmented_data,test,1,10,0.0958641953,0.0894141829,cpu_rollout_search
RFM oracle,tedlium3_segmented_data,test,1,20,0.0958641953,0.0908672077,cpu_rollout_search
RFM oracle,tedlium3_segmented_data,test,1,50,0.0958641953,0.0900520963,cpu_rollout_search
UFMR lr=8e-6,tedlium3_segmented_data,test,1,15,0.0958641953,0.0904064925,cpu_rollout_policy
