group,lr,setting,wer,ins_rate,del_rate,sub_rate,words,repeat,dataset,split,epochs,path,error
layer_drop_lr_sweep,9em5,drop-none,0.15961031799522088,0.02448787860220983,0.038600575945101405,0.09652186344790964,48963,1/1,earnings22,test,1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-none_1.pkl,
layer_drop_lr_sweep,9em5,drop-subsampling,0.15885464534444377,0.02595837673345179,0.03653779384433144,0.09635847476666054,48963,1/1,earnings22,test,1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-subsampling_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-0,0.1602026019647489,0.023568817270183607,0.03931540142556624,0.09731838326899904,48963,1/1,earnings22,test,1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-layer-0_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-1,0.1602638727202173,0.02569287012642199,0.037232195739640137,0.09733880685415518,48963,1/1,earnings22,test,1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-layer-1_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-2,0.15879337458897536,0.023875171047525682,0.03802871556072953,0.09688948798072014,48963,1/1,earnings22,test,1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-layer-2_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-3,0.1588750689295999,0.025917529563139512,0.03596593345995956,0.09699160590650083,48963,1/1,earnings22,test,1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-layer-3_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-4,0.1593448113881911,0.024467455017053694,0.03780405612401201,0.09707330024712538,48963,1/1,earnings22,test,1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-layer-4_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-5,0.15909972836631742,0.02606049465923248,0.03490390703184037,0.09813532667524458,48963,1/1,earnings22,test,1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-layer-5_1.pkl,
layer_drop_lr_sweep,9em5,drop-ctc-decoder,0.16114208688193127,0.022874415374874904,0.03931540142556624,0.0989522700814901,48963,1/1,earnings22,test,1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em5-drop-ctc-decoder_1.pkl,
layer_drop_lr_sweep,9em5,drop-none,0.0581959950381003,0.007903597377281588,0.016799574694311536,0.03349282296650718,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-none_1.pkl,
layer_drop_lr_sweep,9em5,drop-subsampling,0.05851497430444799,0.00836434520645047,0.016586921850079744,0.033563707247917775,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-subsampling_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-0,0.05925925925925926,0.008222576643629275,0.01690590111642743,0.03413078149920255,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-layer-0_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-1,0.05901116427432217,0.008541555909976963,0.016799574694311536,0.03367003367003367,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-layer-1_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-2,0.05947191210349105,0.008754208754208754,0.016799574694311536,0.03391812865497076,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-layer-2_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-3,0.05929470139996456,0.008293460925039872,0.016693248272195642,0.034307992202729044,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-layer-3_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-4,0.059365585681375156,0.00836434520645047,0.01697678539783803,0.03402445507708666,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-layer-4_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-5,0.05894027999291157,0.008506113769271665,0.016516037568669147,0.03391812865497076,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-layer-5_1.pkl,
layer_drop_lr_sweep,9em5,drop-ctc-decoder,0.059401027822080454,0.007903597377281588,0.017543859649122806,0.03395357079567606,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-ctc-decoder_1.pkl,
